htn_status,hh_size_cat,n,n_se,response,SE,lower_CI,upper_CI,unweighted_n,wt_sum
d,2,2882.719916,76.4990046434004,0.1608222166214595,0.007549616995340463,0.1460249673105922,0.17561946593232683,2991,2882.719916
d,3-4,19475.846473,196.57206459831343,0.2503461857737368,0.0038633861959450877,0.24277394882968442,0.25791842271778914,19880,19475.846473
d,5,32093.208463,237.85607858757334,0.4260178849718813,0.0037998914536381224,0.4185700977227506,0.433465672221012,32483,32093.208463
n,2,14817.500134,179.4749338021876,0.17431502922724376,0.00334906855077378,0.16775085486772714,0.18087920358676038,14912,14817.500134
n,3-4,119240.831298,451.49202958111226,0.2642287647010704,0.0016699944230211435,0.26095557563194893,0.2675019537701918,118698,119240.831298
n,5,153523.113581,445.0921570871773,0.48055296592110736,0.0021349579916201808,0.4763684482575318,0.48473748358468294,158472,153523.113581
u,2,5197.67436,103.27680964026263,0.25014352992269495,0.008529257858575928,0.23342618451988614,0.2668608753255038,5596,5197.67436
u,3-4,38709.935535,278.60724591255587,0.3685376501329809,0.004518840790171729,0.3596807221842443,0.3773945780817175,40076,38709.935535
u,5,54210.622656,298.9798045761661,0.6592535597906098,0.004794319485993197,0.6498566935980632,0.6686504259831565,57412,54210.622656
