htn_status,valid_size_cat,n,n_se,p,p_low,p_upp,response,SE,lower_CI,upper_CI,unweighted_n,wt_sum
d,2,28924.840017,259.42629977584994,0.2120989739751693,0.2086352356357176,0.21560454997969267,0.13275172765958232,0.002837788579462335,0.12718966204383614,0.1383137932753285,29791,28924.840017
d,3-4,75453.263967,453.24142572543747,0.553280842576136,0.5486962433888839,0.5578563976493564,0.3357368185567043,0.0032779231174261407,0.32931208924654903,0.34216154786685954,74802,75453.263967
d,5,31996.153189,335.6436249319449,0.23462018312495758,0.23048633170786373,0.23880516789306191,0.6382758591858058,0.008381941076300695,0.6218472546762563,0.6547044636953552,31813,31996.153189
n,2,270669.274877,874.7368120098503,0.26407995374309534,0.2622938531254255,0.26587383343661974,0.14592574753174764,0.0010406203766619995,0.14388613159349012,0.14796536347000516,278429,270669.274877
n,3-4,512268.365153,1386.9521756540055,0.4997974233135736,0.49748955176209053,0.5021053034969172,0.3904100705839838,0.0017111913627737747,0.3870561355129472,0.3937640056550204,519325,512268.365153
n,5,242014.353033,1370.429480113959,0.23612262299547393,0.233866154012894,0.23839408905177623,0.7003643951785415,0.004772880519230445,0.6910095493608499,0.7097192409962332,244116,242014.353033
u,2,54737.603718,350.92195410208865,0.2498334525676003,0.24694165238437177,0.2527477512364231,0.20826939882488094,0.003214306528974824,0.20196935802809027,0.2145694396216716,58776,54737.603718
u,3-4,114958.363932,533.8152029196717,0.5246931361081927,0.5211466985841532,0.5282370847376144,0.524056735549074,0.00403216539581033,0.5161536913732857,0.5319597797248622,119658,114958.363932
u,5,49400.407012,404.0376704661064,0.2254734113708018,0.2223225600683305,0.22865578819285154,0.9795773655760491,0.009929232780195101,0.9601160693268668,0.9990386618252315,51176,49400.407012
